"FID","ID","Nimi","Namn","Name","Osoite","Adress","Kaupunki","Stad","Operaattor","Kapasiteet","x","y","Lainauksia","medianLainaMatka","medianLainaAika","Palautuksia","medianPalautusMatka","medianPalautusAika"
1,"501","Hanasaari","Hanaholmen","Hanasaari","Hanasaarenranta 1","Hanaholmsstranden 1","Espoo","Esbo","CityBike Finland",10,24.840319,60.16582,684,3714,1127.5,677,3992,1165
2,"503","Keilalahti","Kägelviken","Keilalahti","Keilalahdentie 2","Kägelviksvägen 2","Espoo","Esbo","CityBike Finland",28,24.827467,60.171524,382,3510,987,357,3301,989
3,"505","Westendinasema","Westendstationen","Westendinasema","Westendintie 1","Westendvägen 1","Espoo","Esbo","CityBike Finland",16,24.805758,60.168266,628,2886,893,621,2732,872
4,"507","Golfpolku","Golfstigen","Golfpolku","Golfpolku 3","Golfstigen 3","Espoo","Esbo","CityBike Finland",16,24.796136,60.168143,211,1986,609,190,2035.5,619
5,"509","Revontulentie","Norrskensvägen","Revontulentie","Revontulentie 10","Norrskensvägen 10","Espoo","Esbo","CityBike Finland",30,24.802938,60.171551,501,2556,829,505,2280,695
6,"511","Sateentie","Regnvägen","Sateentie","Sateentie 2","Regnvägen 2","Espoo","Esbo","CityBike Finland",18,24.810688,60.173424,543,2530,782,540,2492,794
7,"513","Hakalehto","Hagliden","Hakalehto","Merituulentie 18","Havsvindsvägen 18","Espoo","Esbo","CityBike Finland",24,24.79139,60.173567,685,1631,532,659,1477,498
8,"515","Oravannahkatori","Gråskinnstorget","Oravannahkatori","Oravannahkatori 1","Gråskinnstorget 1","Espoo","Esbo","CityBike Finland",16,24.792559,60.175769,347,1239,385,324,1300,489
9,"517","Länsituuli","Västanvinden","Länsituuli","Länsituulenkuja 3","Västanvindsgränden 3","Espoo","Esbo","CityBike Finland",24,24.802049,60.175358,1231,1482,425,1223,1488,468
10,"518","Tuulimäki","Väderbacken","Tuulimäki","Itätuulenkuja 11","Östanvindsgränden 11","Espoo","Esbo","CityBike Finland",18,24.806051,60.174144,202,2546,756.5,196,2401,666
11,"519","Tapionaukio","Tapioplatsen","Tapionaukio","Tapionaukio 9","Tapioplatsen 9","Espoo","Esbo","CityBike Finland",26,24.805825,60.176168,1059,1764,559,1066,1536,483
12,"521","Kulttuuriaukio","Kulturplatsen","Kulttuuriaukio","Kulttuuriaukio 2","Kulturplatsen 2","Espoo","Esbo","CityBike Finland",30,24.803942,60.177588,665,1915,621,631,1837,567
13,"523","Ahertajantie","Flitarvägen","Ahertajantie","Ahertajantie 1","Flitargränden 1","Espoo","Esbo","CityBike Finland",20,24.797984,60.17875,360,1563,450.5,370,1525,510.5
14,"525","Mäntyviita","Tallbysket","Mäntyviita","Mäntyviita 2","Tallbysket 2","Espoo","Esbo","CityBike Finland",10,24.810974,60.178702,519,1453,434,517,1337,452
15,"527","Otsolahti","Björnviken","Otsolahti","Otsolahdentie 18","Björnviksvägen 18","Espoo","Esbo","CityBike Finland",18,24.817423,60.178655,686,1325,388,687,1418,466
16,"529","Keilaniemi (M)","Kägeludden (M)","Keilaniemi (M)","Keilaniementie 4","Kägeluddsvägen 4","Espoo","Esbo","CityBike Finland",40,24.82895,60.175233,711,1964,599,651,1823,563
17,"531","Keilaranta","Kägelstranden","Keilaranta","Keilaranta 13","Kägelstranden 13","Espoo","Esbo","CityBike Finland",24,24.835132,60.178762,361,3518,867,348,3475,920.5
18,"532","Betonimies","Betongblandaren","Betonimies","Betonimiehenkuja 1","Betongblandargränden 1","Espoo","Esbo","CityBike Finland",16,24.831804,60.180027,328,3649.5,894.5,317,2271,801
19,"533","Tekniikantie","Teknikvägen","Tekniikantie","Tekniikantie 3","Teknikvägen 3","Espoo","Esbo","CityBike Finland",18,24.824747,60.180806,578,1348.5,376.5,574,1309.5,418
20,"537","Innopoli","Innopoli","Innopoli","Tekniikantie 14","Teknikvägen 14","Espoo","Esbo","CityBike Finland",20,24.81422,60.185096,154,2607,839,153,2611,644
21,"538","Hagalundinpuisto","Hagalundinpuisto","Hagalundsparken","Tekniikantie 15","Teknikvägen 15","Espoo","Esbo","CityBike Finland",14,24.817403,60.18363,78,1652.5,487.5,73,1502,456
22,"539","Aalto-yliopisto (M), Tietot","Aalto-universitetet (M),","Aalto University (M), Tietotie","Tietotie 4","Datavägen 4","Espoo","Esbo","CityBike Finland",20,24.820099,60.184987,618,1254.5,369,605,1255,359
23,"541","Aalto-yliopisto (M), Korkea","Aalto-universitetet (M),","Aalto University (M), Korkeakoulua","Otaniementie 10","Otnäsvägen 10","Espoo","Esbo","CityBike Finland",42,24.826671,60.184312,3131,834,286,3071,804,265
24,"543","Otaranta","Oststranden","Otaranta","Otaranta 6","Otstranden 6","Espoo","Esbo","CityBike Finland",22,24.837133,60.18483,1167,2295,739,1164,2284,648.5
25,"545","Sähkömies","Strömkarlen","Sähkömies","Otakaari 3","Otsvängen 3","Espoo","Esbo","CityBike Finland",12,24.829985,60.188499,456,1176,428.5,436,1224,427
26,"547","Jämeräntaival","Bistervägen","Jämeräntaival","Otakaari 18","Otsvängen 18","Espoo","Esbo","CityBike Finland",30,24.835033,60.188118,2710,909,306,2606,951,326
27,"549","Maarinranta","Marstranden","Maarinranta","Maarinrannantie 4","Marstrandvägen 4","Espoo","Esbo","CityBike Finland",12,24.810193,60.187529,514,1821,555.5,500,1706,492
28,"551","Tietäjä","Siaren","Tietäjä","Valkjärventie 4","Valkjärvivägen 4","Espoo","Esbo","CityBike Finland",20,24.807083,60.189143,264,1741,509.5,245,2168,621
29,"553","Metsänneidonpolku","Skogsjungfrustigen","Metsänneidonpolku","Metsänneidonpolku 5","Skogsjungfrustigen 5","Espoo","Esbo","CityBike Finland",19,24.806152,60.186731,424,1547.5,447,408,1508,472
30,"555","Kalevalantie","Kalevalavägen","Kalevalantie","Kalevalantie 7","Kalevalavägen 7","Espoo","Esbo","CityBike Finland",21,24.804022,60.184765,651,1550,498,634,1544.5,464
31,"557","Louhentori","Louhitorget","Louhentori","Louhentie 16","Louhivägen 16","Espoo","Esbo","CityBike Finland",16,24.796959,60.18715,563,1513,450,596,1496,471
32,"559","Pohjankulma","Norrhörnet","Pohjankulma","Louhentie 2","Louhivägen 2","Espoo","Esbo","CityBike Finland",25,24.794014,60.18288,767,1482,467,768,1390,481.5
33,"561","Koivu-Mankkaa","Björkmankans","Koivu-Mankkaa","Urpu 6","Hänget 6","Espoo","Esbo","CityBike Finland",23,24.78576,60.182976,243,1535,514,241,1605,535
34,"563","Mankkaanlaaksontie","Mankansdalsvägen","Mankkaanlaaksontie","Mankkaanlaaksontie 1","Mankansdalsvägen 1","Espoo","Esbo","CityBike Finland",26,24.780478,60.188706,257,3419,905,298,3397.5,839
35,"565","Mankkaanaukio","Mankansplatsen","Mankkaanaukio","Mankkaantie 3","Mankasvägen 3","Espoo","Esbo","CityBike Finland",20,24.769021,60.194599,242,3176,904,271,2989,916
36,"571","Tapiolan urheilupuisto","Hagalunds idrottspark","Tapiola Sports Park","Urheilupuistontie 3","Idrottsparksvägen 3","Espoo","Esbo","CityBike Finland",32,24.784654,60.177749,421,1590,480,454,1590,425
37,"573","Urheilupuisto (M)","Idrottsparken (M)","Sports Park (M)","Jousenpuistonkatu 4","Bågparksgatan 4","Espoo","Esbo","CityBike Finland",28,24.779428,60.17465,1709,1249,390,1720,1221,357
38,"575","Tontunmäentie","Tomtekullavägen","Tontunmäentie","Tontunmäentie 25","Tomtekullavägen 25","Espoo","Esbo","CityBike Finland",16,24.769667,60.176107,357,757,262,358,970,352
39,"577","Olarinluoma","Olarsbäcken","Olarinluoma","Olarinluoma 19","Olarsbäcken 19","Espoo","Esbo","CityBike Finland",18,24.760606,60.180848,229,1921,543,240,2028,559.5
40,"579","Niittymaa","Ängsmalmen","Niittymaa","Niittymaantie 2","Ängsmalmsvägen 2","Espoo","Esbo","CityBike Finland",21,24.775913,60.171127,1242,1847.5,579.5,1246,1950,580.5
41,"581","Niittykumpu (M)","Ängskulla (M)","Niittykumpu (M)","Merituulentie 38","Havsvindsvägen 38","Espoo","Esbo","CityBike Finland",35,24.763184,60.170758,1957,1829,528,1993,1864,535
42,"583","Haukilahdenkatu","Gäddviksgatan","Haukilahdenkatu","Ahventie 2","Abborrvägen 2","Espoo","Esbo","CityBike Finland",16,24.772708,60.166481,476,1421,482.5,481,1364,448
