Kriitikko,Elokuvan nimi,Tähtiä,Linkki,Julkaisia
Päivi Valotie,Tove,4,Turun Sanomat 2.10.2020,Turun Sanomat
Jussi Virratvuori,Tove,5,Etelä-Suomen Sanomat 2.10.2020,Etelä-Suomen Sanomat
Nina Holm,Tove,4,https://www.episodi.fi/elokuvat/tove/,Episodi
Martina Moliis-Mellberg,Tove,3,Hufvudstadsbladet 2.10.2020,Hufvudstadsbladet
Hannu Björkbacka,Tove,4,Keskipohjanmaa 3.10.2020,Keskipohjanmaa
Klas Fransberg,Tove,5,Vasabladet 2.10.2020,Vasabladet
Heikki Ikonen,Tove,4,Hämeen Sanomat 2.10.2020,Hämeen Sanomat
Pinja Nikki,Tove,5,Voima 8 / 2020,Voima
Jussi Huhtala,Tove,3,Episodi 1/2021,Episodi
Niko Ikonen,Tove,4,Episodi 1/2021,Episodi
Hannu Liekso,Tove,3,Episodi 1/2021,Episodi
Jesse Raatikainen,Tove,4,Episodi 1/2021,Episodi
Marta Balaga,Tove,3,Episodi 2/2021,Episodi
Jouni Vikman,Tove,4,Episodi 2/2021,Episodi
Pertti Avola,Kirjava lintu,4,Helsingin Sanomat 6.11.2020,Helsingin Sanomat
Pekka Eronen,Kirjava lintu,4,Aamulehti 6.11.2020,Aamulehti
Päivi Valotie,Kirjava lintu,2,Turun Sanomat 6.11.2020,Turun Sanomat
Olli-Matti Oinonen,Kirjava lintu,5,Etelä-Suomen Sanomat 6.11.2020,Etelä-Suomen Sanomat
Krister Uggedal,Kirjava lintu,3,Hufvudstadsbladet 6.11.2020,Hufvudstadsbladet
Heikki Ikonen,Kirjava lintu,4,Hämeen Sanomat 6.11.2020,Hämeen Sanomat
Jussi Huhtala,Wrath of Man,4,https://www.episodi.fi/elokuvat/wrath-of-man/,Episodi
Antti Selkokari,Wrath of Man,2.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/ilmeettomyytensa-taiteeksi-jalostanut-toimintatahti-jason-statham-pitaa-wrath-of-manin-kuosissa/,kulttuuritoimitus.fi/
Niko Ikonen,Meren tuomat,4,https://www.episodi.fi/elokuvat/meren-tuomat/,Episodi
Niko Ikonen,Those Who Wish Me Dead,4,https://www.episodi.fi/elokuvat/those-who-wish-me-dead/,Episodi
Niko Ikonen,Kuka pelkää puudelia,3,https://www.episodi.fi/elokuvat/kuka-pelkaa-puudelia/,Episodi
Marta Balaga,Yhdet vielä,4,https://www.episodi.fi/elokuvat/yhdet-viela/,Episodi
Niko Ikonen,Yhdet vielä,4,Episodi 4/2021,Episodi
maria Lättilä,Yhdet vielä,4,Episodi 4/2021,Episodi
Antti Selkokari,Yhdet vielä,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/yhdet-viela-komediassa-opettajanelikko-ponnistelee-paastakseen-tieteellisen-tarkasti-pitkaan-nousuhumalaan/,kulttuuritoimitus.fi/
Hannu Liekso,Yhdet vielä,4,Episodi 9/2021,Episodi
Kalle Kinnunen,Yhdet vielä,4,Suomen Kuvalehti 20/2021,Suomen Kuvalehti
Jesse Raatikainen,Yhdet vielä,5,Episodi 11/2021,Episodi
Jouni Vikman,Flummelit,3,https://www.episodi.fi/elokuvat/flummelit/,Episodi
Jouni Vikman,Tom and Jerry,2,https://www.episodi.fi/elokuvat/tom-jerry/,Episodi
Tero Heikkinen,Mother,5,https://www.episodi.fi/elokuvat/mother-2/,Episodi
T R,Mother,4,Katso 19/2021,Katso
Niklas Tirkkonen,Godzilla vs. Kong,4,https://www.episodi.fi/elokuvat/godzilla-vs-kong/,Episodi
Eija Niskanen,Godzilla vs. Kong,2,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/cg-tehosteiset-hirviot-eivat-peittoa-kasinaskarreltuja-esi-isiaan-arviossa-godzilla-vs-kong/,kulttuuritoimitus.fi/
Jussi Huhtala,Godzilla vs. Kong,2,Episodi 8/2021,Episodi
Niko Ikonen,Godzilla vs. Kong,2,Episodi 8/2021,Episodi
Hannu Liekso,Godzilla vs. Kong,2,Episodi 8/2021,Episodi
Jouni Vikman,Godzilla vs. Kong,3,Episodi 8/2021,Episodi
Niko Ikonen,Punkkisota,4,https://www.episodi.fi/elokuvat/punkkisota/,Episodi
Anne Välinoro,Punkkisota,5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/joonas-berghallin-punkkisota-dokumentti-on-pitka-syvalta-kouraiseva-ja-kauas-kuljettava/,kulttuuritoimitus.fi/
Niko Ikonen,Karalahti,4,https://www.episodi.fi/elokuvat/karalahti/,Episodi
Kalle Kinnunen,Karalahti,3,Suomen Kuvalehti 19/2021,Suomen Kuvalehti
A L,Karalahti,3,Katso 20/2021,Katso
Susanna Karhapää,Ammonite,4,https://www.episodi.fi/elokuvat/ammonite/,Episodi
Niko Ikonen,Ammonite,3,Episodi 9/2021,Episodi
maria Lättilä,Ammonite,3,Episodi 9/2021,Episodi
Jouni Vikman,Ammonite,3,Episodi 9/2021,Episodi
Maria Lättilä,Kirottu 3: Paholaisen vallassa,4,https://www.episodi.fi/elokuvat/kirottu-3-paholaisen-vallassa/,Episodi
Ira Hurskainen,Kirottu 3: Paholaisen vallassa,3,Episodi 9/2021,Episodi
Niko Ikonen,Kirottu 3: Paholaisen vallassa,4,Episodi 9/2021,Episodi
Hannu Liekso,Kirottu 3: Paholaisen vallassa,3,Episodi 9/2021,Episodi
Niklas Tirkkonen,Kirottu 3: Paholaisen vallassa,3,Episodi 9/2021,Episodi
Maria Lättilä,Petteri Kaniini: Kani karkuteillä,2,https://www.episodi.fi/elokuvat/petteri-kaniini-kani-karkuteilla/,Episodi
Maria Lättilä,Babyteeth,4,https://www.episodi.fi/elokuvat/babyteeth/,Episodi
Elli Harju,Babyteeth,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/babyteeth-kuvaa-sairautta-ja-rakkautta-nostamatta-kumpaakaan-jalustalle/,kulttuuritoimitus.fi/
Marta Balaga,Babyteeth,3,Episodi 2/2021,Episodi
Niko Ikonen,Babyteeth,4,Episodi 2/2021,Episodi
Niko Ikonen,Demon Slayer,4,https://www.episodi.fi/elokuvat/demon-slayer-mugen-train/,Episodi
Maria Lättilä,Minari,4,https://www.episodi.fi/elokuvat/minari/,Episodi
Marta Balaga,Minari,4,Episodi 4/2021,Episodi
Eija Niskanen,Minari,4.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/minari-on-sydamella-tehty-elokuva-korealaisesta-maahanmuuttajaperheesta/,kulttuuritoimitus.fi/
T K,Minari,3,Katso 19/2021,Katso
Niko Ikonen,Army of One,1,https://www.episodi.fi/elokuvat/army-of-one/,Episodi
T R,Army of One,2,Katso 16/2021,Katso
maria Lättilä,Nomadland,4,https://www.episodi.fi/elokuvat/nomadland/,Episodi
Jussi Huhtala,Nomadland,4,Episodi 4/2021,Episodi
Niko Ikonen,Nomadland,4,Episodi 4/2021,Episodi
Hannu Liekso,Nomadland,4,Episodi 4/2021,Episodi
Jesse Raatikainen,Nomadland,5,Episodi 4/2021,Episodi
Antti Selkokari,Nomadland,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/jos-kaikki-menee-on-parasta-lahtea-tien-paalle-kertoo-oscar-elokuvien-ennakkosuosikki-nomadland/,kulttuuritoimitus.fi/
Kaisu Tervonen,Nomadland,5,Suomen Kuvalehti 12/2021,Suomen Kuvalehti
Jussi Huhtala,Falling,4,https://www.episodi.fi/elokuvat/falling/,Episodi
Antti Selkokari,Falling,4.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/viggo-mortensenin-esikoisohjaus-hakellyttaa-kypsyydellaan-ja-viilealla-tyylikkyydellaan-arviossa-falling/,kulttuuritoimitus.fi/
Jesse Raatikainen,Falling,4,Episodi 1/2021,Episodi
Niko Ikonen,Falling,4,Episodi 1/2021,Episodi
Hannu Liekso,Falling,3,Episodi 1/2021,Episodi
Niklas Tirkkonen,Falling,4,Episodi 1/2021,Episodi
Marta Balaga,Falling,3,Episodi 2/2021,Episodi
Jouni Vikman,Falling,3,Episodi 2/2021,Episodi
Niko Ikonen,Tunturin tarina,5,https://www.episodi.fi/elokuvat/tunturin-tarina/,Episodi
Hannu Liekso,Tunturin tarina,4,Episodi 2/2021,Episodi
Leena Virtanen,Tunturin tarina,3,Helsingin Sanomat 3.12.2021,Helsingin Sanomat
Jussi Virratvuori,Tunturin tarina,3,Keskisuomalainen 3.12.2021,Keskisuomalainen
Krister Uggedal,Tunturin tarina,4,Hufvudstadsbladet 3.12.2021,Hufvudstadsbladet
A A,Tunturin tarina,4,Katso 50/2021,Katso
Niko Ikonen,Kuka pelkää noitia,3,https://www.episodi.fi/elokuvat/kuka-pelkaa-noitia/,Episodi
Niko Ikonen,Kuka pelkää noitia,3,Episodi 1/2021,Episodi
Hannu Liekso,Kuka pelkää noitia,3,Episodi 2/2021,Episodi
Niko Ikonen,Cruella,5,https://www.episodi.fi/elokuvat/cruella/,Episodi
Elli Harju,Cruella,3,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/perijatar-de-vil-sai-taas-yhden-elaman-valkokankaalla-cruella-elokuva-on-varsin-siivo-paaosassa-on-puvustus/,kulttuuritoimitus.fi/
Ira Hurskainen,Cruella,4,Episodi 9/2021,Episodi
maria Lättilä,Cruella,3,Episodi 9/2021,Episodi
Jouni Vikman,Cruella,5,Episodi 9/2021,Episodi
Marta Balaga,The Father,5,Episodi 11/2021,Episodi
Maria Lättilä,The Father,4,https://www.episodi.fi/elokuvat/isa/,Episodi
Jussi Virratvuori,The Father,5,Etelä-Suomen Sanomat 13.8.2021,Etelä-Suomen Sanomat
Jussi Huhtala,The Father,5,Episodi 9/2021,Episodi
Niko Ikonen,The Father,4,Episodi 9/2021,Episodi
Hannu Liekso,The Father,4,Episodi 9/2021,Episodi
maria Lättilä,The Father,4,Episodi 9/2021,Episodi
Jouni Vikman,The Father,4,Episodi 9/2021,Episodi
Jesse Raatikainen,The Father,5,Episodi 11/2021,Episodi
Susanna Karhapää,The Father,5,Episodi 8/2021,Episodi
tuomas Rantanen,Hytti nro 6,5,Voima 8/2021,Voima
Veli-Pekka Lehtonen,Hytti nro 6,4,Helsingin Sanomat 29.10.2021,Helsingin Sanomat
Olli-Matti Oinonen,Hytti nro 6,5,Keskisuomalainen 29.10.2021,Keskisuomalainen
Klas Fransberg,Hytti nro 6,4,Vasabladet 29.10.2021,Vasabladet
Päivi Valotie,Hytti nro 6,4,Turun Sanomat 29.10.2021,Turun Sanomat
Heikki Ikonen,Hytti nro 6,4,Hämeen Sanomat 29.10.2021,Hämeen Sanomat
Sara Ehnholm Hielm,Hytti nro 6,5,Hufvudstadsbladet 29.10.2021,Hufvudstadsbladet
Jussi U. Pellonpää,Hytti nro 6,4,Forssan Lehti 30.10.2021,Forssan Lehti
Marta Balaga,Hytti nro 6,4,Episodi 11/2021,Episodi
Niko Ikonen,Hytti nro 6,4,Episodi 11/2021,Episodi
Hannu Liekso,Hytti nro 6,4,Episodi 11/2021,Episodi
Maria Lättilä,Hytti nro 6,3,Episodi 11/2021,Episodi
Hannu Björkbacka,Hytti nro 6,5,Keskipohjanmaa 11.9.2021,Keskipohjanmaa
T R,Hytti nro 6,4,Katso 45/2021,Katso
Jari Tamminen,Dyyni,4,Voima 8/2021,Voima
Niko Ikonen,Dyyni,4,https://www.episodi.fi/elokuvat/128247/,Episodi
Jussi Huhtala,Dyyni,3,Episodi 11/2021,Episodi
Hannu Liekso,Dyyni,3,Episodi 11/2021,Episodi
Jesse Raatikainen,Dyyni,4,Episodi 11/2021,Episodi
Jouni Vikman,Dyyni,3,Episodi 11/2021,Episodi
Hannu Björkbacka,Dyyni,3,Keskipohjanmaa 25.9.2021,Keskipohjanmaa
Sara Ehnholm Hielm,Dyyni,3,Hufvudstadsbladet 17.9.2021,Hufvudstadsbladet
tuomas Rantanen,The French Dispatch,5,Voima 8/2021,Voima
Tero Kartastenpää,The French Dispatch,3,Helsingin Sanomat 22.10.2021,Helsingin Sanomat
Jussi Virratvuori,The French Dispatch,5,Keskisuomalainen 22.10.2021,Keskisuomalainen
Marta Balaga,The French Dispatch,3,Episodi 11/2021,Episodi
Jussi Huhtala,The French Dispatch,4,Episodi 11/2021,Episodi
niko Ikonen,The French Dispatch,3,Episodi 11/2021,Episodi
Hannu Liekso,The French Dispatch,3,Episodi 11/2021,Episodi
Maria Lättilä,The French Dispatch,3,Episodi 11/2021,Episodi
Jesse Raatikainen,The French Dispatch,4,Episodi 11/2021,Episodi
jouni Vikman,The French Dispatch,3,Episodi 11/2021,Episodi
Sara Ehnholm Hielm,The French Dispatch,4,Hufvudstadsbladet 22.10.2021,Hufvudstadsbladet
T R,The French Dispatch,3,Katso 44/2021,Katso
Maria Lättilä,Candyman,4,https://www.episodi.fi/elokuvat/candyman/,Episodi
Juho Typpö,Candyman,4,Helsingin Sanomat 8.10.2021,Helsingin Sanomat
Krister Uggedal,Candyman,2,Hufvudstadsbladet 8.10.2021,Hufvudstadsbladet
Kari Salminen,Candyman,4,Turun Sanomat 8.10.2021,Turun Sanomat
Heikki Ikonen,Candyman,3,Hämeen Sanomat 8.10.2021,Hämeen Sanomat
Jouni Vikman,Junk Head,4,https://www.episodi.fi/elokuvat/junk-head/,Episodi
Pertti Avola,Junk Head,3,Helsingin Sanomat 8.10.2021,Helsingin Sanomat
Kari Salminen,Junk Head,3,Turun Sanomat 8.10.2021,Turun Sanomat
Jesse Raatikainen,Yö armahtaa,3,https://www.episodi.fi/elokuvat/yo-armahtaa/,Episodi
Veli-Pekka Lehtonen,Yö armahtaa,2,Helsingin Sanomat 8.10.2021,Helsingin Sanomat
Olli-Matti Oinonen,Yö armahtaa,4,Etelä-Suomen Sanomat 8.10.2021,Etelä-Suomen Sanomat
Krister Uggedal,Yö armahtaa,2,Hufvudstadsbladet 8.10.2021,Hufvudstadsbladet
Päivi Valotie,Yö armahtaa,3,Turun Sanomat 8.10.2021,Turun Sanomat
Hannu Björkbacka,Yö armahtaa,4,Keskipohjanmaa 16.10.2021,Keskipohjanmaa
Marta Balaga,Gagarine,3,https://www.episodi.fi/elokuvat/gagarine-kiertoradalla/,Episodi
Tero Kartastenpää,Gagarine,3,Helsingin Sanomat 8.10.2021,Helsingin Sanomat
Martina Moliis-Mellberg,Gagarine,3,Hufvudstadsbladet 8.10.2021,Hufvudstadsbladet
Maria Lättilä,Persian oppitunnit,3,https://www.episodi.fi/elokuvat/persian-oppitunnit/,Episodi
Niko Ikonen,Persian oppitunnit,4,Episodi 9/2021,Episodi
Hannu Liekso,Persian oppitunnit,3,Episodi 9/2021,Episodi
Marta Balaga,Persian oppitunnit,2,Episodi 2/2021,Episodi
Krister Uggedal,Persian oppitunnit,3,Hufvudstadsbladet 17.9.2021,Hufvudstadsbladet
Niko Ikonen,Pahan naapuri,2,https://www.episodi.fi/elokuvat/pahan-naapuri/,Episodi
Niklas Tirkkonen,Escape Room: Tournament of Champions,3,https://www.episodi.fi/elokuvat/escape-room-no-way-out/,Episodi
Jouni Vikman,Respect,3,https://www.episodi.fi/elokuvat/respect/,Episodi
Jussi Huhtala,Respect,3,Episodi 11/2021,Episodi
Niko Ikonen,Respect,2,Episodi 11/2021,Episodi
Jesse Raatikainen,Respect,4,Episodi 11/2021,Episodi
Krister Uggedal,Respect,3,Hufvudstadsbladet 24.9.2021,Hufvudstadsbladet
Niko Ikonen,The Green Knight,4,https://www.episodi.fi/elokuvat/the-green-knight/,Episodi
Jussi Huhtala,007 No Time to Die,4,https://www.episodi.fi/elokuvat/007-no-time-to-die/,Episodi
Juho Typpö,007 No Time to Die,4,Helsingin Sanomat 1.10.2021,Helsingin Sanomat
Jussi Virratvuori,007 No Time to Die,4,Etelä-Suomen Sanomat 1.10.2021,Etelä-Suomen Sanomat
Niko Ikonen,007 No Time to Die,4,Episodi 11/2021,Episodi
Hannu Liekso,007 No Time to Die,4,Episodi 11/2021,Episodi
Jesse Raatikainen,007 No Time to Die,4,Episodi 11/2021,Episodi
Jouni Vikman,007 No Time to Die,3,Episodi 11/2021,Episodi
Hannu Björkbacka,007 No Time to Die,4,Keskipohjanmaa 2.10.2021,Keskipohjanmaa
Krister Uggedal,007 No Time to Die,3,Hufvudstadsbladet 30.9.2021,Hufvudstadsbladet
Jussi Huhtala,The Grandmaster,4,https://www.episodi.fi/elokuvat/grandmaster/,Episodi
Pertti Avola,My Hero Academia: World Heroes' Mission,3,Helsingin Sanomat 29.10.2021,Helsingin Sanomat
Henri Waltter Rehnström,My Hero Academia: World Heroes' Mission,4,Turun Sanomat 29.10.2021,Turun Sanomat
Henri Waltter Rehnström,Sorjonen: Muraalimurhat,3,Turun Sanomat 29.10.2021,Turun Sanomat
Heikki Ikonen,Sorjonen: Muraalimurhat,2,Hämeen Sanomat 29.10.2021,Hämeen Sanomat
Jussi U. Pellonpää,Sorjonen: Muraalimurhat,2,Forssan Lehti 29.10.2021,Forssan Lehti
Tero Kartastenpää,Sorjonen: Muraalimurhat,2,Helsingin Sanomat 28.10.2021,Helsingin Sanomat
Hannu Björkbacka,Sorjonen: Muraalimurhat,3,Keskipohjanmaa 13.11.2021,Keskipohjanmaa
T R,Sorjonen: Muraalimurhat,4,Katso 44/2021,Katso
Pertti Avola,Cry Macho,3,Helsingin Sanomat 29.10.2021,Helsingin Sanomat
Kari Salminen,Cry Macho,4,Turun Sanomat 29.10.2021,Turun Sanomat
Krister Uggedal,Cry Macho,2,Hufvudstadsbladet 29.10.2021,Hufvudstadsbladet
Niko Ikonen,Cry Macho,2,Episodi 11/2021,Episodi
Jesse Raatikainen,Cry Macho,3,Episodi 11/2021,Episodi
Tero Kartastenpää,Näin pilvet kuolevat,3,Helsingin Sanomat 10.9.2021,Helsingin Sanomat
Jussi Virratvuori,Näin pilvet kuolevat,5,Keskisuomalainen 10.9.2021,Keskisuomalainen
Heikki Ikonen,Näin pilvet kuolevat,2,Hämeen Sanomat 10.9.2021,Hämeen Sanomat
Niko Ikonen,Näin pilvet kuolevat,2,Episodi 8/2021,Episodi
Hannu Liekso,Näin pilvet kuolevat,2,Episodi 8/2021,Episodi
Oona Komonen,"Sokea mies, joka ei halunnut nähdä Titanicia",4,Helsingin Sanomat 10.9.2021,Helsingin Sanomat
Olli-Matti Oinonen,"Sokea mies, joka ei halunnut nähdä Titanicia",5,Keskisuomalainen 10.9.2021,Keskisuomalainen
Heikki Ikonen,"Sokea mies, joka ei halunnut nähdä Titanicia",4,Hämeen Sanomat 10.9.2021,Hämeen Sanomat
Jussi Huhtala,"Sokea mies, joka ei halunnut nähdä Titanicia",4,Episodi 9/2021,Episodi
Niko Ikonen,"Sokea mies, joka ei halunnut nähdä Titanicia",4,Episodi 9/2021,Episodi
Hannu Liekso,"Sokea mies, joka ei halunnut nähdä Titanicia",4,Episodi 9/2021,Episodi
Kaarina Lehtisalo,"Sokea mies, joka ei halunnut nähdä Titanicia",4,Suomen Kuvalehti 36/2021,Suomen Kuvalehti
Marta Balaga,"Sokea mies, joka ei halunnut nähdä Titanicia",4,Episodi 11/2021,Episodi
Jesse Raatikainen,"Sokea mies, joka ei halunnut nähdä Titanicia",4,Episodi 11/2021,Episodi
Hannu Björkbacka,"Sokea mies, joka ei halunnut nähdä Titanicia",3,Keskipohjanmaa 9.10.2021,Keskipohjanmaa
Krister Uggedal,"Sokea mies, joka ei halunnut nähdä Titanicia",4,Hufvudstadsbladet 10.9.2021,Hufvudstadsbladet
Krister Uggedal,The Last Letter from Your Lover,3,Hufvudstadsbladet 20.8.2021,Hufvudstadsbladet
Leena Virtanen,The Last Letter from Your Lover,3,Helsingin Sanomat 20.8.2021,Helsingin Sanomat
Niko Ikonen,The Last Letter from Your Lover,2,Episodi 9/2021,Episodi
Hannu Liekso,The Last Letter from Your Lover,2,Episodi 9/2021,Episodi
Jouni Vikman,The Last Letter from Your Lover,2,Episodi 9/2021,Episodi
Pertti Avola,The Ice Road,2,Helsingin Sanomat 20.8.2021,Helsingin Sanomat
niko Ikonen,The Ice Road,1,Episodi 9/2021,Episodi
Hannu Liekso,The Ice Road,3,Episodi 9/2021,Episodi
Jouni Vikman,The Ice Road,1,Episodi 9/2021,Episodi
Jesse Raatikainen,Fucking with Nobody,4,https://www.episodi.fi/elokuvat/fucking-with-nobody/,Episodi
Kaarina Lehtisalo,Fucking with Nobody,3.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/fucking-with-nobody-on-satiirinen-metaelokuva-joka-hairitsee-huijaa-ja-naurattaa-katsojaa/,kulttuuritoimitus.fi/
niko Ikonen,Fucking with Nobody,2,Episodi 1/2021,Episodi
Hannu Liekso,Fucking with Nobody,2,Episodi 1/2021,Episodi
Hannu Liekso,Peruna,3,https://www.episodi.fi/elokuvat/peruna/,Episodi
Jussi Virratvuori,Peruna,4,Etelä-Suomen Sanomat 13.8.2021,Etelä-Suomen Sanomat
Jussi Huhtala,Peruna,3,Episodi 9/2021,Episodi
Ira Hurskainen,Peruna,3,Episodi 9/2021,Episodi
Niko Ikonen,Peruna,2,Episodi 9/2021,Episodi
Jouni Vikman,Peruna,3,Episodi 9/2021,Episodi
Jussi Virratvuori,Free Guy,4,https://www.episodi.fi/elokuvat/free-guy/,Episodi
Niko Ikonen,Free Guy,3,Episodi 9/2021,Episodi
Hannu Liekso,Free Guy,3,Episodi 9/2021,Episodi
Niklas Tirkkonen,Free Guy,4,Episodi 9/2021,Episodi
Jesse Raatikainen,Free Guy,1,Episodi 11/2021,Episodi
Jouni Vikman,Wrong Turn,2,https://www.episodi.fi/elokuvat/wrong-turn/,Episodi
Niko Ikonen,Wrong Turn,2,Episodi 8/2021,Episodi
maria Lättilä,Old,2,https://www.episodi.fi/elokuvat/old/,Episodi
Niko Ikonen,Old,1,Episodi 9/2021,Episodi
Hannu Liekso,Old,1,Episodi 9/2021,Episodi
Susanna Karhapää,Old,1,Episodi 8/2021,Episodi
Krister Uggedal,Beckett,2,Hufvudstadsbladet 20.8.2021,Hufvudstadsbladet
Jouni Vikman,Luokkakokous 3 – Sinkkuristeily,2,https://www.episodi.fi/elokuvat/luokkakokous-3-sinkkuristeily/,Episodi
Jussi Huhtala,Luokkakokous 3 – Sinkkuristeily,2,Episodi 9/2021,Episodi
Niko Ikonen,Luokkakokous 3 – Sinkkuristeily,2,Episodi 9/2021,Episodi
Hannu Liekso,Luokkakokous 3 – Sinkkuristeily,1,Episodi 9/2021,Episodi
Jussi Huhtala,Reminiscence,2,Episodi 9/2021,Episodi
Niko Ikonen,Reminiscence,2,Episodi 9/2021,Episodi
Krister Uggedal,Reminiscence,2,Hufvudstadsbladet 3.9.2021,Hufvudstadsbladet
maria Lättilä,Hitman's Wife's Bodyguard,2,https://www.episodi.fi/elokuvat/hitmans-wifes-bodyguard/,Episodi
Niko Ikonen,Hitman's Wife's Bodyguard,2,Episodi 9/2021,Episodi
Hannu Liekso,Hitman's Wife's Bodyguard,2,Episodi 9/2021,Episodi
Jouni Vikman,Hitman's Wife's Bodyguard,3,Episodi 9/2021,Episodi
Niklas Tirkkonen,Fast & Furious 9,3,https://www.episodi.fi/elokuvat/fast-furious-9/,Episodi
Kaarina Lehtisalo,Fast & Furious 9,1.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/fast-furious-9-ei-hammastyta-toimintakohtauksillaan-vaan-kasikirjoituksen-kehnoudella/,kulttuuritoimitus.fi/
Jussi Huhtala,Fast & Furious 9,2,Episodi 9/2021,Episodi
Niko Ikonen,Fast & Furious 9,2,Episodi 9/2021,Episodi
Hannu Liekso,Fast & Furious 9,2,Episodi 9/2021,Episodi
Niko Ikonen,Sama nainen,3,Episodi 9/2021,Episodi
maria Lättilä,Sama nainen,3,Episodi 9/2021,Episodi
Martina Molis-Mellberg,Sama nainen,3,Hufvudstadsbladet 17.9.2021,Hufvudstadsbladet
Ira Hurskainen,Yhdessä,2,Episodi 9/2021,Episodi
Niko Ikonen,Yhdessä,4,Episodi 9/2021,Episodi
Jouni Vikman,Yhdessä,4,Episodi 9/2021,Episodi
Krister Uggedal,Yhdessä,4,Hufvudstadsbladet 3.9.2021,Hufvudstadsbladet
Marta Balaga,Yhdessä,3,Episodi 8/2021,Episodi
Susanna Karhapää,Yhdessä,3,Episodi 8/2021,Episodi
