Kriitikko,Elokuvan nimi,Tähtiä,Linkki,Julkaisia
Jouni Vikman,Little Women,3,Episodi 2/2020,Episodi
Juho Typpö,Taistelulähetit - 1917,4,Helsingin Sanomat 24.1.2020,Helsingin Sanomat
Janne Kaakko,Taistelulähetit - 1917,3,Aamulehti 24.1.2020,Aamulehti
Kari Salminen,Taistelulähetit - 1917,3,Turun Sanomat 24.1.2020,Turun Sanomat
Jarno Lindemark,Taistelulähetit - 1917,5,Etelä-Suomen Sanomat 24.1.2020,Etelä-Suomen Sanomat
Krister Uggeldahl,Taistelulähetit - 1917,5,Hufvudstadsbladet 24.1.2020,Hufvudstadsbladet
Timo Alho,Taistelulähetit - 1917,4,Etelä-Saimaa 24.1.2020,Etelä-Saimaa
Heikki Ikonen,Taistelulähetit - 1917,5,Hämeen Sanomat 24.1.2020,Hämeen Sanomat
Jussi U. Pellonpää,Taistelulähetit - 1917,5,Forssan Lehti 31.1.2020,Forssan Lehti
Jussi Huhtala,Taistelulähetit - 1917,4,https://www.episodi.fi/elokuvat/taistelulahetit-1917/,Episodi
Kaarina Lehtisalo,Taistelulähetit - 1917,3.5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/sam-mendesin-maailmansotadraama-taistelulahetit-1917-on-teknisesti-loistelias-mutta-pinnallinen/,Kulttuuritoimitus.fi
Martta Kaukonen,Taistelulähetit - 1917,4.5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/arvostelussa-taistelulahetit-1917-tositapahtumiin-perustuvaa,Me Naiset
Aki Lehti,Taistelulähetit - 1917,4.5,https://muropaketti.com/elokuvat/arvostelu-bond-ohjaaja-sam-mendesin-taistelulahetit-1917-on-paljon-muutakin-kuin-vain-jumalattoman-komean-nakoinen-sotaelokuva/,Muropaketti
Hannu Björkbacka,Taistelulähetit - 1917,3,Keskipohjanmaa 1.2.2020,Keskipohjanmaa
Kalle Kinnunen,Taistelulähetit - 1917,2,Suomen Kuvalehti 4/2020,Suomen Kuvalehti
Niko Ikonen,Taistelulähetit - 1917,4,Episodi 1/2020,Episodi
Hannu Liekso,Taistelulähetit - 1917,4,Episodi 1/2020,Episodi
Jesse Raatikainen,Taistelulähetit - 1917,4,Episodi 1/2020,Episodi
Jouni Vikman,Taistelulähetit - 1917,4,Episodi 1/2020,Episodi
Maria Lättilä,Taistelulähetit - 1917,3,Episodi 2/2020,Episodi
Tuomo Yrittiaho,Ella Bella Bingo,3,Helsingin Sanomat 24.1.2020,Helsingin Sanomat
Henri Waltter Rehnström,Ella Bella Bingo,4,Turun Sanomat 24.1.2020,Turun Sanomat
Timo Alho,Ella Bella Bingo,3,Etelä-Saimaa 24.1.2020,Etelä-Saimaa
Leena Virtanen,Just Mercy,3,Helsingin Sanomat 24.1.2020,Helsingin Sanomat
Pekka Eronen,Just Mercy,3,Aamulehti 24.1.2020,Aamulehti
Päivi Valotie,Just Mercy,3,Turun Sanomat 24.1.2020,Turun Sanomat
Jarno Lindemark,Just Mercy,3,Etelä-Suomen Sanomat 24.1.2020,Etelä-Suomen Sanomat
Jussi U. Pellonpää,Just Mercy,3,Forssan Lehti 24.1.2020,Forssan Lehti
Krister Uggeldahl,Just Mercy,3,Hufvudstadsbladet 24.1.2020,Hufvudstadsbladet
Maria Lättilä,Just Mercy,3,https://www.episodi.fi/elokuvat/just-mercy/,Episodi
Martta Kaukonen,Just Mercy,3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/true-crime-draama-just-mercy-kertoo-syyttomana-kuolemaan,Me Naiset
Niko Ikonen,Just Mercy,2,Episodi 2/2020,Episodi
Jesse Raatikainen,Just Mercy,2,Episodi 2/2020,Episodi
Hannu Liekso,Just Mercy,3,Episodi 4/2020,Episodi
Pertti Avola,Jäähyväiset,4,Helsingin Sanomat 24.1.2020,Helsingin Sanomat
Päivi Valotie,Jäähyväiset,4,Turun Sanomat 24.1.2020,Turun Sanomat
Martina Moliis-Mellberg,Jäähyväiset,4,Hufvudstadsbladet 24.1.2020,Hufvudstadsbladet
Jouni Vikman,Jäähyväiset,4,https://www.episodi.fi/elokuvat/jaahyvaiset-2/,Episodi
Eija Niskanen,Jäähyväiset,4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/awkwafina-loistaa-lulu-wangin-amerikkalais-kiinalaisessa-ensi-iltaelokuvassa-jaahyvaiset/,Kulttuuritoimitus.fi
Martta Kaukonen,Jäähyväiset,3.5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/isoaidilla-kolme-kuukautta-elinaikaa-eika-kukaan-kerro-sita,Me Naiset
Kalle Kinnunen,Jäähyväiset,4,Suomen Kuvalehti 4/2020,Suomen Kuvalehti
Niko Ikonen,Jäähyväiset,4,Episodi 1/2020,Episodi
maria Lättilä,Jäähyväiset,4,Episodi 1/2020,Episodi
Hannu liekso,Jäähyväiset,3,Epidodi 2/2020,Episodi
Marta Balaga,Jäähyväiset,4,Episodi 4/2020,Episodi
Jesse Raatikainen,Jäähyväiset,4,Episodi 4/2020,Episodi
Jouni Vikman,Jäähyväiset,4,Episodi 4/2020,Episodi
Laura Hallamaa,Cats (2019),2,Helsingin Sanomat 3.1.2020,Helsingin Sanomat
Pekka Eronen,Cats (2019),2,Aamulehti 3.1.2020,Aamulehti
Henri Waltter Rehnström,Cats (2019),2,Turun Sanomat 3.1.2020,Turun Sanomat
Jussi Virratvuori,Cats (2019),2,Etelä-Suomen Sanomat 3.1.2020,Etelä-Suomen Sanomat
Jussi U. Pellonpää,Cats (2019),2,Forssan Lehti 3.1.2020,Forssan Lehti
Krister Uggeldahl,Cats (2019),1,Hufvudstadsbladet 3.1.2020,Hufvudstadsbladet
Niklas Tirkkonen,Cats (2019),2,https://www.episodi.fi/elokuvat/cats/,Episodi
Anne Välinoro,Cats (2019),4,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/uusin-cats-on-megaluokan-kissavideo-arvostelussa-tom-hooperin-musikaalielokuva/,Kulttuuritoimitus.fi
Niko Ikonen,Cats (2019),3,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/katsoimme-kohuleffa-catsin-ja-voi-pojat-ja-tytot-millainen-se,Me Naiset
Axel Åhman,Cats (2019),1,Vasabladet 4.1.2020,Vasabladet
Hannu Björkbacka,Cats (2019),3,Keskipohjanmaa 11.1.2020,Keskipohjanmaa
Hannu Liekso,Cats (2019),2,Episodi 1/2020,Episodi
Jesse Raatikainen,Cats (2019),2,Episodi 1/2020,Episodi
Marta Balaga,Cats (2019),1,Episodi 2/2020,Episodi
Pertti Avola,The Peanut Butter Falcon,3,Helsingin Sanomat 14.2.2020,Helsingin Sanomat
Henri Waltter Rehnström,The Peanut Butter Falcon,2,Turun Sanomat 14.2.2020,Turun Sanomat
Jussi Virratvuori,The Peanut Butter Falcon,5,Keskisuomalainen 14.2.2020,Keskisuomalainen
Krister Uggeldahl,The Peanut Butter Falcon,3,Hufvudstadsbladet 14.2.2020,Hufvudstadsbladet
Jussi U. Pellonpää,The Peanut Butter Falcon,2,Forssan Lehti 14.2.2020,Forssan Lehti
Jouni Vikman,The Peanut Butter Falcon,4,https://www.episodi.fi/elokuvat/the-peanut-butter-falcon/,Episodi
Anne Välinoro,The Peanut Butter Falcon,5,https://kulttuuritoimitus.fi/kritiikit/kritiikit-elokuva/peanut-butter-falcon-on-vuosikymmenen-paras-elokuva-ennen-kuin-vuosikymmen-on-edes-alkanut-kunnolla/,Kulttuuritoimitus.fi
Martta Kaukonen,The Peanut Butter Falcon,3.5,https://www.menaiset.fi/artikkeli/ihmiset-ja-ilmiot/kulttuuri/tassako-uusi-sademies-ei-vaan-huckleberry-finn-shia-labeouf,Me Naiset
Marta Balaga,The Peanut Butter Falcon,3,Episodi 1/2021,Episodi
Niko Ikonen,The Peanut Butter Falcon,4,Episodi 1/2021,Episodi
Hannu liekso,The Peanut Butter Falcon,2,Episodi 1/2021,Episodi
Maria Lättilä,The Peanut Butter Falcon,3,Episodi 1/2021,Episodi
Tuomo Yrittiaho,"Heinähattu, Vilttitossu ja ärhäkkä koululainen",2,Helsingin Sanomat 14.2.2020,Helsingin Sanomat
