criticID,googleID,stars,link,publisher,name
hwRehnström,71,2,Turun Sanomat 31.8.2020,Turun Sanomat,Henri Waltter Rehnström
jussiVirratvuori,71,4,Etelä-Suomen Sanomat 31.7.2020,Etelä-Suomen Sanomat,Jussi Virratvuori
martaBalaga,72,3,https://www.episodi.fi/elokuvat/isani-marianne/,Episodi,Marta Balaga
leenaVirtanen,72,3,Helsingin Sanomat 31.7.2020,Helsingin Sanomat,Leena Virtanen
päiviValotie,72,3,Turun Sanomat 31.8.2020,Turun Sanomat,Päivi Valotie
malinSlotte,72,3,Hufvudstadsbladet 31.7.2020,Hufvudstadsbladet,Malin Slotte
heikkiIkonen,72,4,Hämeen Sanomat 31.7.2020,Hämeen Sanomat,Heikki Ikonen
klasFransberg,72,4,Vasabladet 18.7.2020,Vasabladet,Klas Fransberg
jussiUPellonpää,72,3,Forssan Lehti 21.8.2020,Forssan Lehti,Jussi U. Pellonpää
hannuBjörkbacka,72,3,Keskipohjanmaa 11.8.2020,Keskipohjanmaa,Hannu Björkbacka
jussiHuhtala,73,1,https://www.episodi.fi/elokuvat/rattiraivo/,Episodi,Jussi Huhtala
avola,73,2,Helsingin Sanomat 31.7.2020,Helsingin Sanomat,Pertti Avola
anttiSelkokari,73,2,Aamulehti 31.7.2020,Aamulehti,Antti Selkokari
nikoIkonen,74,3,https://www.episodi.fi/elokuvat/jouluiloa-ukrainaan/,Episodi,Niko Ikonen
susannaKarhapää,74,2,Helsingin Sanomat 13.12.2019,Helsingin Sanomat,Susanna Karhapää
hwRehnstöm,75,3,Turun Sanomat 13.12.2019,Turun Sanomat,Henri Waltter Rehnström
jesseRaatikainen,75,4,https://www.episodi.fi/elokuvat/western-stars/,Episodi,Jesse Raatikainen
avola,75,4,Helsingin Sanomat 13.12.2019,Helsingin Sanomat,Pertti Avola
nikoikonen,75,3,Episodi 1/2020,Episodi,Niko Ikonen
kariSalminen,76,4,Turun Sanomat 6.12.2019,Turun Sanomat,Kari Salminen
